day_key,entry_time,side,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usdt,r_multiple,used_fallback
2025-08-23,2025-08-23 12:45:00+00:00,short,115175.8,115316.02857142857,114942.08571428571,2025-08-23 13:30:00+00:00,114942.08571428571,take_profit,33.333333333334714,1.6666666666667358,False
2025-08-25,2025-08-25 12:15:00+00:00,long,111652.2,111079.01142857142,112607.51428571428,2025-08-25 16:15:00+00:00,112607.51428571428,take_profit,33.333333333332995,1.6666666666666496,False
2025-08-26,2025-08-26 12:30:00+00:00,long,110479.0,110143.12,111038.8,2025-08-26 19:15:00+00:00,111038.8,take_profit,33.333333333333044,1.6666666666666523,False
2025-08-28,2025-08-28 12:45:00+00:00,long,113187.6,112975.86,113540.5,2025-08-28 13:15:00+00:00,112975.86,stop_loss,-20.0,-1.0,False
2025-08-29,2025-08-29 12:00:00+00:00,long,110224.0,109934.74857142857,110706.08571428571,2025-08-29 12:30:00+00:00,110706.08571428571,take_profit,33.333333333333336,1.6666666666666667,False
2025-09-01,2025-09-01 12:00:00+00:00,long,108850.0,108326.39714285714,109722.67142857143,2025-09-01 20:45:00+00:00,108326.39714285714,stop_loss,-20.0,-1.0,False
2025-09-02,2025-09-02 12:00:00+00:00,short,109364.5,109621.18857142857,108936.68571428572,2025-09-02 12:30:00+00:00,108936.68571428572,take_profit,33.333333333332575,1.6666666666666288,False
2025-09-03,2025-09-03 12:30:00+00:00,short,111206.2,111403.21428571429,110877.84285714285,2025-09-03 13:15:00+00:00,111403.21428571429,stop_loss,-20.0,-1.0,False
2025-09-05,2025-09-05 12:15:00+00:00,long,112550.7,112224.42,113094.5,2025-09-05 12:30:00+00:00,113094.5,take_profit,33.333333333333634,1.6666666666666816,False
2025-09-07,2025-09-07 12:00:00+00:00,short,111105.8,111306.67142857143,110771.0142857143,2025-09-07 14:00:00+00:00,111306.67142857143,stop_loss,-20.0,-1.0,False
2025-09-10,2025-09-10 12:00:00+00:00,long,112382.4,112187.9057142857,112706.55714285714,2025-09-10 12:30:00+00:00,112706.55714285714,take_profit,33.333333333333336,1.6666666666666667,False
2025-09-11,2025-09-11 12:00:00+00:00,long,114217.7,114016.53714285714,114552.97142857143,2025-09-11 13:45:00+00:00,114552.97142857143,take_profit,33.333333333333336,1.6666666666666667,False
2025-09-12,2025-09-12 12:00:00+00:00,short,114803.2,115029.98285714285,114425.22857142857,2025-09-12 12:15:00+00:00,115029.98285714285,stop_loss,-20.0,-1.0,False
2025-09-13,2025-09-13 12:00:00+00:00,short,115824.3,115923.15428571429,115659.54285714286,2025-09-13 13:45:00+00:00,115659.54285714286,take_profit,33.33333333333137,1.6666666666665686,False
2025-09-14,2025-09-14 12:30:00+00:00,short,115660.8,115909.52571428572,115246.25714285715,2025-09-14 13:30:00+00:00,115246.25714285715,take_profit,33.333333333332945,1.6666666666666472,False
2025-09-15,2025-09-15 12:45:00+00:00,short,114686.7,114871.5,114378.7,2025-09-15 13:30:00+00:00,114378.7,take_profit,33.33333333333281,1.6666666666666403,False
2025-09-16,2025-09-16 12:45:00+00:00,long,115393.1,115204.6142857143,115707.24285714286,2025-09-16 15:45:00+00:00,115707.24285714286,take_profit,33.333333333334366,1.666666666666718,False
2025-09-17,2025-09-17 12:30:00+00:00,short,116159.9,116526.20857142856,115549.3857142857,2025-09-17 14:30:00+00:00,115549.3857142857,take_profit,33.33333333333386,1.6666666666666932,False
2025-09-19,2025-09-19 12:15:00+00:00,short,116175.1,116301.79428571429,115963.94285714287,2025-09-19 14:45:00+00:00,115963.94285714287,take_profit,33.3333333333318,1.6666666666665901,False
2025-09-21,2025-09-21 12:15:00+00:00,long,115666.0,115492.27428571429,115955.54285714285,2025-09-21 14:30:00+00:00,115492.27428571429,stop_loss,-20.0,-1.0,False
